trade_num,direction,favored,entry_time,exit_time,exit_reason,levels_filled,l1_price,blended_entry,exit_price,pnl,fees,equity_before,equity_after,hold_minutes
344,long,Y,2021-08-31 16:00:00,2021-09-01 05:52:00,TP,2,47381.99,47223.77,47459.86,40.1161,5.6431,6095.70,6135.81,832
345,long,Y,2021-09-01 08:00:00,2021-09-01 09:10:00,TP,1,47196.05,47196.05,47432.00,13.5094,1.8282,6133.11,6146.62,70
346,long,Y,2021-10-13 08:00:00,2021-10-13 08:02:00,TP,1,54577.06,54577.06,54849.92,13.5391,1.8257,6143.91,6157.45,2
347,long,Y,2021-10-22 00:00:00,2021-10-22 00:05:00,TP,1,62153.05,62153.05,62463.79,13.5630,1.8292,6154.73,6168.29,5
348,long,Y,2021-10-22 16:00:00,2021-10-22 16:17:00,TP,2,60665.22,60462.64,60764.93,40.7574,5.5002,6161.91,6202.67,17
349,long,Y,2021-10-22 20:00:00,2021-10-22 20:10:00,TP,1,60901.56,60901.56,61206.04,13.6621,1.8430,6199.93,6213.59,10
350,long,Y,2021-10-23 00:00:00,2021-10-23 00:25:00,TP,2,60668.92,60466.33,60768.63,41.0547,5.5426,6207.16,6248.22,25
351,long,Y,2021-10-23 04:00:00,2021-10-23 04:14:00,TP,1,61221.20,61221.20,61527.28,13.7621,1.8569,6245.46,6259.22,14
352,long,Y,2021-10-23 08:00:00,2021-10-23 11:04:00,TP,3,60894.75,60053.29,60353.53,110.1753,14.9967,6243.45,6353.63,184
353,long,Y,2021-10-23 12:00:00,2021-10-23 16:03:00,TP,2,61500.06,61294.70,61601.14,41.9237,5.7238,6347.05,6388.97,243
354,long,Y,2021-10-23 20:00:00,2021-10-23 21:43:00,TP,1,60980.03,60980.03,61284.90,14.0644,1.9064,6386.16,6400.22,103
355,long,Y,2021-10-24 00:00:00,2021-10-24 12:23:00,TP,3,61292.33,60445.38,60747.58,112.2696,15.7221,6384.09,6496.36,743
356,long,Y,2021-10-27 00:00:00,2021-10-27 00:16:00,TP,1,60344.13,60344.13,60645.82,14.3085,1.9308,6493.50,6507.80,16
357,long,Y,2021-10-27 04:00:00,2021-10-27 04:21:00,TP,1,60684.03,60684.03,60987.42,14.3332,1.9347,6504.94,6519.27,21
358,long,Y,2021-10-31 12:00:00,2021-10-31 12:19:00,TP,1,60353.10,60353.10,60654.84,14.3587,1.9379,6516.39,6530.75,19
359,long,Y,2021-10-31 16:00:00,2021-10-31 17:17:00,TP,1,60491.24,60491.24,60793.67,14.3788,1.9464,6527.87,6542.25,77
360,long,Y,2021-10-31 20:00:00,2021-10-31 20:17:00,TP,1,60625.81,60625.81,60928.91,14.4095,1.9446,6539.37,6553.78,17
361,long,Y,2021-11-02 00:00:00,2021-11-02 00:13:00,TP,1,60906.12,60906.12,61210.62,14.4352,1.9476,6550.88,6565.32,13
362,long,Y,2021-11-04 12:00:00,2021-11-04 12:52:00,TP,1,61390.04,61390.04,61696.96,14.4572,1.9545,6562.42,6576.88,52
363,long,Y,2021-11-04 16:00:00,2021-11-04 16:14:00,TP,1,60970.23,60970.23,61275.05,14.4860,1.9546,6573.98,6588.47,14
364,long,Y,2021-11-04 20:00:00,2021-11-04 20:22:00,TP,1,61169.10,61169.10,61474.92,14.5108,1.9587,6585.56,6600.07,22
365,long,Y,2021-11-05 00:00:00,2021-11-05 01:57:00,TP,2,61455.52,61250.31,61556.53,43.5837,5.9120,6593.24,6636.83,117
366,long,Y,2021-11-05 12:00:00,2021-11-05 12:52:00,TP,1,61220.98,61220.98,61527.05,14.6146,1.9758,6633.90,6648.51,52
367,long,Y,2021-11-05 16:00:00,2021-11-05 17:35:00,TP,1,60775.41,60775.41,61079.26,14.6365,1.9832,6645.58,6660.22,95
368,long,Y,2021-11-05 20:00:00,2021-11-05 22:17:00,TP,1,60986.04,60986.04,61290.94,14.6585,1.9904,6657.28,6671.94,137
369,long,Y,2021-11-06 00:00:00,2021-11-06 00:49:00,TP,1,60940.11,60940.11,61244.78,14.6922,1.9860,6669.00,6683.69,49
370,long,Y,2021-11-06 04:00:00,2021-11-06 05:30:00,TP,1,61124.35,61124.35,61429.94,14.7144,1.9932,6680.74,6695.46,90
371,long,Y,2021-11-06 08:00:00,2021-11-06 08:07:00,TP,1,60771.53,60771.53,61075.36,14.7478,1.9892,6692.50,6707.25,7
372,long,Y,2021-11-06 12:00:00,2021-11-06 12:27:00,TP,2,60432.94,60231.14,60532.27,44.3159,5.9835,6700.31,6744.62,27
373,long,Y,2021-11-06 16:00:00,2021-11-06 19:42:00,TP,1,60641.17,60641.17,60944.35,14.8365,2.0234,6741.65,6756.49,222
374,long,Y,2021-11-11 04:00:00,2021-11-11 06:36:00,TP,1,64626.03,64626.03,64949.13,14.8687,2.0209,6753.51,6768.38,156
375,long,Y,2021-11-12 08:00:00,2021-11-12 08:37:00,TP,1,64444.05,64444.05,64766.24,14.9058,2.0136,6765.39,6780.30,37
376,long,Y,2021-11-12 12:00:00,2021-11-12 12:05:00,TP,2,63662.46,63449.88,63767.10,44.8048,6.0426,6773.28,6818.08,5
377,long,Y,2021-11-12 16:00:00,2021-11-12 17:03:00,TP,2,63082.27,62871.62,63185.95,45.0384,6.0924,6811.03,6856.07,63
378,long,Y,2021-11-12 20:00:00,2021-11-12 20:07:00,TP,1,63895.07,63895.07,64214.52,15.1017,2.0369,6853.04,6868.14,7
379,long,Y,2021-11-13 00:00:00,2021-11-13 14:24:00,TP,2,64140.95,63926.77,64246.37,45.1457,6.3606,6861.04,6906.18,864
380,long,Y,2021-11-15 16:00:00,2021-11-15 17:15:00,TP,2,64330.89,64116.08,64436.63,45.6171,6.1744,6899.03,6944.65,75
381,long,Y,2021-11-15 20:00:00,2021-11-20 18:23:00,TP,4,64174.84,58950.80,59245.52,299.9010,55.9761,6901.37,7201.27,7103
382,long,Y,2021-12-28 04:00:00,2021-12-28 06:29:00,TP,3,49750.08,49062.62,49307.90,126.7813,17.2265,7183.12,7309.90,149
383,long,Y,2021-12-28 08:00:00,2021-12-28 12:31:00,TP,2,49200.11,49035.82,49280.96,48.2240,6.5936,7302.34,7350.56,271
384,long,Y,2021-12-28 16:00:00,2021-12-31 08:49:00,TP,3,48965.46,48288.84,48530.25,126.4312,20.5618,7332.04,7458.47,3889
385,short,Y,2022-02-05 00:00:00,2022-02-05 00:53:00,TP,2,41517.13,41655.31,41447.06,49.2689,6.6616,7450.75,7500.02,53
386,short,Y,2022-02-05 04:00:00,2022-02-05 08:38:00,TP,2,41419.48,41557.34,41349.58,49.4748,6.7672,7492.26,7541.73,278
387,long,N,2022-02-12 04:00:00,2022-02-12 08:13:00,TP,2,42305.51,42079.26,42289.62,29.8546,4.0783,7537.05,7566.90,253
388,long,N,2022-02-12 16:00:00,2022-02-12 16:10:00,TP,1,42172.20,42172.20,42383.03,9.9997,1.3490,7564.90,7574.90,10
389,long,N,2022-02-17 16:00:00,2022-02-17 16:36:00,TP,1,41874.35,41874.35,42083.69,10.0087,1.3521,7572.89,7582.90,36
390,short,Y,2022-03-01 00:00:00,2022-03-01 02:09:00,TP,2,43179.81,43323.52,43106.94,50.0678,6.7961,7575.05,7625.12,129
391,short,Y,2022-03-01 04:00:00,2022-03-01 06:07:00,TP,2,43163.38,43307.04,43090.53,50.3472,6.8333,7617.23,7667.58,127
392,short,Y,2022-03-01 08:00:00,2022-03-01 08:23:00,TP,2,43477.05,43621.75,43403.67,50.6599,6.8390,7659.64,7710.30,23
393,short,Y,2022-03-01 12:00:00,2022-03-01 14:33:00,TP,3,43623.68,44220.63,43999.55,135.7376,18.4475,7690.87,7826.61,153
394,long,N,2022-04-01 00:00:00,2022-04-01 13:17:00,TP,2,45465.28,45222.13,45448.21,30.8789,4.3362,7821.75,7852.63,797
395,long,N,2022-04-06 00:00:00,2022-04-06 05:16:00,TP,2,45441.30,45198.28,45424.24,31.0736,4.2585,7847.75,7878.83,316
396,long,N,2022-04-06 08:00:00,2022-04-06 14:33:00,TP,3,45274.79,44270.82,44492.15,83.0998,11.4333,7866.91,7950.01,393
397,long,N,2022-04-06 16:00:00,2022-04-06 18:01:00,TP,2,44177.70,43941.44,44161.11,31.4966,4.2735,7945.08,7976.57,121
398,long,N,2022-04-06 20:00:00,2022-04-06 20:04:00,TP,1,43775.62,43775.62,43994.47,10.5415,1.4217,7974.46,7985.00,4
399,long,N,2022-04-07 08:00:00,2022-04-07 11:08:00,TP,1,43443.40,43443.40,43660.59,10.5407,1.4351,7982.89,7993.43,188
400,long,N,2022-04-07 12:00:00,2022-04-07 14:01:00,TP,2,43745.36,43511.41,43728.93,31.6686,4.2969,7988.47,8020.14,121
401,long,N,2022-04-07 20:00:00,2022-04-07 22:57:00,TP,1,43415.54,43415.54,43632.59,10.5878,1.4407,8018.01,8028.60,177
402,long,N,2022-04-08 00:00:00,2022-04-08 01:52:00,TP,1,43425.04,43425.04,43642.14,10.6032,1.4380,8026.48,8037.08,112
403,long,N,2022-06-02 00:00:00,2022-06-02 06:54:00,TP,1,29800.29,29800.29,29949.26,10.5940,1.4592,8034.95,8045.55,414
404,long,N,2022-06-03 12:00:00,2022-06-03 21:43:00,TP,2,29790.35,29631.02,29779.15,31.7822,4.4155,8040.55,8072.33,583
405,long,N,2022-06-07 04:00:00,2022-06-07 08:40:00,TP,1,29570.58,29570.58,29718.40,10.6492,1.4569,8070.20,8080.85,280
406,long,N,2022-06-07 12:00:00,2022-06-07 13:34:00,TP,1,29505.51,29505.51,29653.01,10.6726,1.4462,8078.71,8089.38,94
407,long,N,2022-06-10 16:00:00,2022-06-11 05:08:00,TP,2,29446.33,29288.84,29435.26,31.9148,4.4800,8084.36,8116.27,788
